# k	pk0	pk1	pk2	pk3	pk4	Nmodes	pk0err	pk1err	pk2err	pk3err	pk4err
0.0	52712.592592593515	NaN	NaN	NaN	NaN	1.0	NaN	NaN	NaN	NaN	NaN
0.002672746339979227	23106.566094012607	5.787037037037035e-13	77834.42483876678	7.876800411522631e-13	1431.2976342586596	18.0	NaN	NaN	NaN	NaN	NaN
0.004672183071752521	29796.971290030364	-2.7739275313620063e-13	20103.28058071343	6.431661626344084e-13	-11042.711386181569	62.0	NaN	NaN	NaN	NaN	NaN
0.006564167585221056	26685.938989784438	2.3030045351473914e-13	29253.877801777737	-4.960317460317458e-13	14784.780409231242	98.0	NaN	NaN	NaN	NaN	NaN
0.008504458441081823	42125.70379012825	-4.133597883597881e-13	24857.00356546778	1.5432098765432094e-13	-11099.323113014423	210.0	NaN	NaN	NaN	NaN	NaN
0.010676353141326825	34850.43877573498	3.968253968253967e-14	19893.017794031806	-1.851851851851851e-13	20970.690937876112	350.0	NaN	NaN	NaN	NaN	NaN
0.012821736464951864	39252.115732016144	-7.098765432098763e-13	43660.66160472352	-4.50102880658436e-13	30878.483880250067	450.0	NaN	NaN	NaN	NaN	NaN
0.014811024481278072	45473.70539980253	3.172296050203026e-14	37728.22968939259	-5.383290267011195e-14	664.8956646720219	602.0	NaN	NaN	NaN	NaN	NaN
0.01680768479659022	42161.49411984764	1.8226888305628456e-14	7899.708022869354	2.339117332555652e-13	-13884.81256390997	762.0	NaN	NaN	NaN	NaN	NaN
0.018969752078038634	44781.20918111467	-7.905234481416615e-14	26546.95749946244	1.1351105922034114e-13	-33544.36292355785	1142.0	NaN	NaN	NaN	NaN	NaN
0.021139474258468342	42941.04233395576	-4.1666666666666655e-14	25655.302316946207	2.5925925925925915e-14	-6465.722729703397	1250.0	NaN	NaN	NaN	NaN	NaN
0.02316662612605558	44970.22715777867	4.018775720164607e-13	25868.134332665217	5.62628600823045e-14	-18296.47352239216	1458.0	NaN	NaN	NaN	NaN	NaN
0.025193761228453515	40987.01135739499	-1.3542432316550284e-13	21329.189444050317	-1.2505614765813216e-13	-13677.69642765206	1814.0	NaN	NaN	NaN	NaN	NaN
0.027320893792279304	38236.94236857388	-3.706573308846035e-14	15123.471541968804	-5.486791313811513e-13	21112.69557614775	2178.0	NaN	NaN	NaN	NaN	NaN
0.029434086525317225	36645.228240930126	1.6853760786406895e-13	15785.662299504169	-3.3568521483853735e-13	2048.427777389471	2498.0	NaN	NaN	NaN	NaN	NaN
0.03145070173609333	32261.299009664996	-9.137426900584791e-14	13375.207898710807	1.653123852303867e-13	848.7251064689448	2622.0	NaN	NaN	NaN	NaN	NaN
0.03351999859451853	33166.27078769191	8.945809200452696e-14	16058.968796506313	-2.3300712336062833e-13	-3077.3225961202747	3338.0	NaN	NaN	NaN	NaN	NaN
0.03567127104290463	30578.794721443675	1.6069056361573817e-13	18039.227488578996	-2.2039562063406762e-13	-589.1329257210901	3722.0	NaN	NaN	NaN	NaN	NaN
0.037809089466011754	26847.710207743	4.850286437516651e-14	7282.992957925207	1.942890132338573e-15	3611.4552263964256	4170.0	NaN	NaN	NaN	NaN	NaN
0.03986962342462368	25204.017890625462	1.1054860792412417e-13	13085.893991921108	-1.2083991977291651e-13	532.1177094943655	4358.0	NaN	NaN	NaN	NaN	NaN
0.04192678301280368	26868.580875990578	8.492597558822227e-15	11428.114441405676	5.109928412719431e-14	2557.643727317478	5034.0	NaN	NaN	NaN	NaN	NaN
0.044049644283299154	20923.8978951037	7.276839536421262e-14	10206.485502156367	3.438395299394598e-14	-4545.715655655502	5714.0	NaN	NaN	NaN	NaN	NaN
0.0461520765124625	20517.073227906818	-6.225273041346259e-14	8540.166611961678	-9.108150067486406e-14	-313.00802935766615	5982.0	NaN	NaN	NaN	NaN	NaN
0.04821654287098462	21499.413204069686	8.296623077181995e-14	10398.074028904262	-1.0124246861220501e-14	-5137.513954032074	6602.0	NaN	NaN	NaN	NaN	NaN
0.05028446778888448	20991.559316922314	-2.6784322892317268e-15	9481.01834456029	-1.0226741467975684e-14	2442.7703513165966	7130.0	NaN	NaN	NaN	NaN	NaN
0.05239093180212778	18973.14490967831	-1.4997026526152732e-13	13695.554824861045	-2.0168911754672266e-15	6153.896417992368	8034.0	NaN	NaN	NaN	NaN	NaN
0.05451389022805993	18034.684828858946	-2.4913981201745542e-14	2430.96575525702	9.272977078868314e-14	-1613.003646447263	8606.0	NaN	NaN	NaN	NaN	NaN
0.056608499535902954	18519.130463308615	-4.806572787214745e-14	3467.5854348146922	6.52924719750635e-14	-407.775030101152	9066.0	NaN	NaN	NaN	NaN	NaN
0.05870041228185086	18809.55455599911	1.1567393595663517e-13	2967.162764613587	2.5109885156186086e-14	-326.9911568020395	9962.0	NaN	NaN	NaN	NaN	NaN
0.06079990868488397	18523.427833450514	-1.0799269352290673e-14	8808.43662069708	1.2095181674565556e-14	2464.4202743478613	10550.0	NaN	NaN	NaN	NaN	NaN
0.06288352399537324	16436.6643494499	2.0684559158303136e-15	1245.0584330295835	-1.885452339476479e-14	-3403.310050609475	11226.0	NaN	NaN	NaN	NaN	NaN
0.06496933863633478	15536.384172798871	1.9225007775765215e-14	5676.8024145860345	1.2673734989723789e-14	-3059.1955837060323	12146.0	NaN	NaN	NaN	NaN	NaN
0.067047463818807	16046.281018019232	3.649606889135683e-15	3313.8483679094106	-9.013840411091715e-14	-1824.7395914993065	12606.0	NaN	NaN	NaN	NaN	NaN
0.06913175452825705	16568.312079716798	-4.289334073966734e-14	4874.974139510111	-1.3633206003424082e-13	-1240.9934579350895	13802.0	NaN	NaN	NaN	NaN	NaN
0.07124626098411652	14700.642592025766	-1.203769599204735e-13	1623.9378713384779	1.757213360846273e-14	-2616.719332703535	14754.0	NaN	NaN	NaN	NaN	NaN
0.07334431226217804	14519.060750067047	3.7860311042004865e-14	9594.99215667392	-4.040028098018709e-14	2931.2164290257915	15194.0	NaN	NaN	NaN	NaN	NaN
0.07543096140594086	13086.05596948844	1.0023736207338974e-14	1299.4819429401332	4.450011310994961e-14	2097.028806344689	16454.0	NaN	NaN	NaN	NaN	NaN
0.07753278308483011	12541.626828723707	2.3429504618294396e-14	3479.408341060242	-1.759321333108787e-13	-4149.6720027729125	17154.0	NaN	NaN	NaN	NaN	NaN
0.07962965000734924	12914.172045077148	-6.344323697945177e-15	4951.37606658277	5.0120949264166146e-14	-1725.0855243104943	18266.0	NaN	NaN	NaN	NaN	NaN
0.08170723762107696	12104.523906928585	2.3981481481481475e-14	924.8896585171599	-2.376543209876542e-15	1461.8440177797315	18750.0	NaN	NaN	NaN	NaN	NaN
